Symbol,Name,Sector,Price,Price/Earnings,Dividend_Yield,52w_low,52w_high,Market_Cap,EBITDA,Price/Sales,Price/Book,Book_Value
AAL,American Airlines Group,Industrials,48.6,9.92,0.7782101,59.08,39.21,24594852352,5761000000,0.58022565,6.03,8.059701493
AEP,American Electric Power,Utilities,63.38,17.32,3.8479443,78.07,62.69,31701916517,4450800000,2.7489934,1.81,35.01657459
AXP,American Express Co,Financials,88.34,15,1.4955667,102.385,75.51,80410990000,0,2.273575,3.75,23.55733333
AIG,"American International Group, Inc.",Financials,58.28,23.22,2.1167521,67.3,57.85,54360073164,0,1.4686536,0.75,77.70666667
AMT,American Tower Corp A,Real Estate,133.57,20.68,2,155.28,103.36,59213892640,3792383000,11.954137,9.22,14.48698482
AWK,American Water Works Company Inc,Utilities,76.06,26.23,2.129297,92.37,71.89,13906146184,1711000000,5.553833,2.55,29.82745098
AMP,Ameriprise Financial,Financials,152.5,12.41,2.0735743,183.9,118.84,23472126000,0,1.9493247,3.73,40.8847185
ABC,AmerisourceBergen Corp,Health Care,91.55,15.54,1.6132456,106.27,71.9,20587704101,991884000,0.17396984,9.73,9.409044193
AME,AMETEK Inc,Industrials,72.05,27.61,0.75512403,78.51,51.31,17139651923,1025763000,4.015368,4.54,15.87004405
AMGN,Amgen Inc,Health Care,173.12,13.76,2.9751508,201.23,152.16,1.28E+11,11945000000,5.58192,3.91,44.27621483
APH,Amphenol Corp,Information Technology,84.44,25.9,0.8608971,93.62,67.26,26955335395,1671700000,3.85675,6.64,12.71686747
APC,Anadarko Petroleum Corp,Energy,56.2,-21.29,1.7029973,70,39.96,32129091747,3115000000,3.9682212,2.88,19.51388889
ADI,"Analog Devices, Inc.",Information Technology,82.68,17.67,2.108963,98.38,74.65,31811578855,1663384000,8.00391,3.13,26.41533546
ANDV,Andeavor,Energy,96.9,18.78,2.3454583,121.71,75.11,15696449735,2548000000,0.6618165,1.7,57
ANSS,ANSYS,Information Technology,148.84,42.53,0,164.9,94.52,13155919129,458515000,16.8134,5.79,25.70639033
ANTM,Anthem Inc.,Health Care,230.57,19.23,1.2581781,267.95,156.81,61221978627,0,0.6696521,2.28,101.127193
AON,Aon plc,Financials,136.05,20.8,1.0245464,152.78,113.2201,35123123422,1858000000,3.4972682,6.78,20.06637168
APA,Apache Corporation,Energy,37.73,-251.53,2.528445,57.9,38.14,15066280977,3265000000,3.651366,2.22,16.9954955
AIV,Apartment Investment & Management,Real Estate,38.21,15.6,3.876562,46.855,38.85,6156884142,874871000,6.187621,4.69,8.147121535
AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,180.1,131.12,8.10E+11,79386000000,3.4586093,5.66,27.41166078
AMAT,Applied Materials Inc,Information Technology,45.75,14.08,0.8215239,60.89,34.58,51296481503,4336000000,4.7020154,5.44,8.409926471
APTV,Aptiv Plc,Consumer Discretionary,89.27,69.74,0.9392678,96.91,82.97,24906530300,2370000000,1.5025798,7.56,11.80820106
ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,17.45,3.1761081,47.44,38.59,23594770663,2927000000,0.52478915,1.29,32.05426357
ARNC,Arconic Inc,Industrials,24.45,20.21,0.9561753,31.17,21.755,12123300000,1517000000,0.94214815,2.03,12.04433498
AJG,Arthur J. Gallagher & Co.,Financials,64.4,21.05,2.4807138,70.55,53.63,11968488290,888000000,1.9400215,2.92,22.05479452
AIZ,Assurant Inc,Financials,85.16,33.27,2.5313594,106.985,85.91,4653993594,0,0.9821866,1.12,76.03571429
T,AT&T Inc,Telecommunication Services,35.57,12.14,5.4156513,42.7,32.55,2.27E+11,49653000000,1.4083152,1.8,19.76111111
ADSK,Autodesk Inc,Information Technology,104.81,-77.07,0,131.1,81.75,24348294504,-378100000,16.50682,224.13,0.467630393
